"date","location","dist","admin","pct"
2021-02-17,"CT",916075,738191,80.6
2021-02-17,"ME",321850,242445,75.3
2021-02-17,"MA",1526150,1170398,76.7
2021-02-17,"NH",321625,218316,67.9
2021-02-17,"RI",234500,151436,64.6
2021-02-17,"VT",150375,115964,77.1
2021-02-18,"CT",922075,767183,83.2
2021-02-18,"ME",321850,242445,75.3
2021-02-18,"MA",1526150,1214821,79.6
2021-02-18,"NH",321625,226863,70.5
2021-02-18,"RI",234500,159931,68.2
2021-02-18,"VT",151350,118184,78.1
2021-02-19,"CT",958925,822615,85.8
2021-02-19,"ME",335375,268162,80
2021-02-19,"MA",1580500,1316402,83.3
2021-02-19,"NH",328525,241386,73.5
2021-02-19,"RI",246175,181725,73.8
2021-02-19,"VT",159650,127619,79.9
2021-02-20,"CT",984275,847820,86.1
2021-02-20,"ME",335375,268322,80
2021-02-20,"MA",1737170,1375439,79.2
2021-02-20,"NH",328525,250296,76.2
2021-02-20,"RI",246175,190896,77.5
2021-02-20,"VT",159650,132112,82.8
2021-02-21,"CT",984275,860534,87.4
2021-02-21,"ME",335375,268693,80.1
2021-02-21,"MA",1737170,1426512,82.1
2021-02-21,"NH",328525,260809,79.4
2021-02-21,"RI",246175,198626,80.7
2021-02-21,"VT",163550,137144,83.9
2021-02-22,"CT",984275,882777,89.7
2021-02-22,"ME",335375,297116,88.6
2021-02-22,"MA",1737170,1468992,84.6
2021-02-22,"NH",328525,267893,81.5
2021-02-22,"RI",246175,206034,83.7
2021-02-22,"VT",163550,141436,86.5
2021-02-23,"CT",1025755,892882,87
2021-02-23,"ME",355310,299427,84.3
2021-02-23,"MA",1747380,1500077,85.8
2021-02-23,"NH",344165,274267,79.7
2021-02-23,"RI",272255,211660,77.7
2021-02-23,"VT",178620,144085,80.7
2021-02-24,"CT",1099225,912033,83
2021-02-24,"ME",387360,305362,78.8
2021-02-24,"MA",1982950,1533534,77.3
2021-02-24,"NH",383145,282235,73.7
2021-02-24,"RI",292365,218499,74.7
2021-02-24,"VT",194760,144970,74.4
2021-02-25,"CT",1113035,925946,83.2
2021-02-25,"ME",398190,305397,76.7
2021-02-25,"MA",2025060,1576657,77.9
2021-02-25,"NH",396375,291248,73.5
2021-02-25,"RI",300805,226694,75.4
2021-02-25,"VT",205810,147828,71.8
2021-02-26,"CT",1190995,954153,80.1
2021-02-26,"ME",411790,305477,74.2
2021-02-26,"MA",2068660,1625459,78.6
2021-02-26,"NH",398575,299874,75.2
2021-02-26,"RI",304145,234889,77.2
2021-02-26,"VT",206910,151538,73.2
2021-02-27,"CT",1198495,980211,81.8
2021-02-27,"ME",416090,332358,79.9
2021-02-27,"MA",2091730,1684341,80.5
2021-02-27,"NH",412275,310769,75.4
2021-02-27,"RI",308415,245606,79.6
2021-02-27,"VT",206910,156929,75.8
2021-02-28,"CT",1198495,1004467,83.8
2021-02-28,"ME",416090,332999,80
2021-02-28,"MA",2091730,1735916,83
2021-02-28,"NH",412275,321602,78
2021-02-28,"RI",308415,256755,83.2
2021-02-28,"VT",206910,162558,78.6
2021-03-01,"CT",1198495,1031305,86.1
2021-03-01,"ME",416090,334009,80.3
2021-03-01,"MA",2091730,1803528,86.2
2021-03-01,"NH",412275,324806,78.8
2021-03-01,"RI",308415,269512,87.4
2021-03-01,"VT",206910,168050,81.2
2021-03-02,"CT",1281935,1040154,81.1
2021-03-02,"ME",451450,334325,74.1
2021-03-02,"MA",2115560,1837816,86.9
2021-03-02,"NH",437345,330538,75.6
2021-03-02,"RI",350915,275799,78.6
2021-03-02,"VT",227350,171557,75.5
2021-03-03,"CT",1309225,1061375,81.1
2021-03-03,"ME",465150,334449,71.9
2021-03-03,"MA",2296020,1884139,82.1
2021-03-03,"NH",454845,339484,74.6
2021-03-03,"RI",351515,282767,80.4
2021-03-03,"VT",230850,173179,75
2021-03-04,"CT",1345595,1087313,80.8
2021-03-04,"ME",487680,334528,68.6
2021-03-04,"MA",2381160,1941018,81.5
2021-03-04,"NH",466775,349825,74.9
2021-03-04,"RI",354585,290963,82.1
2021-03-04,"VT",246000,175767,71.4
2021-03-05,"CT",1421045,1121517,78.9
2021-03-05,"ME",503580,382117,75.9
2021-03-05,"MA",2476070,2005708,81
2021-03-05,"NH",482575,358497,74.3
2021-03-05,"RI",371455,300529,80.9
2021-03-05,"VT",253300,179580,70.9
2021-03-06,"CT",1434565,1157114,80.7
2021-03-06,"ME",503580,398509,79.1
2021-03-06,"MA",2497130,2082052,83.4
2021-03-06,"NH",496675,371111,74.7
2021-03-06,"RI",387365,310283,80.1
2021-03-06,"VT",261100,184327,70.6
2021-03-07,"CT",1434565,1195617,83.3
2021-03-07,"ME",503580,399534,79.3
2021-03-07,"MA",2497130,2148356,86
2021-03-07,"NH",496675,382103,76.9
2021-03-07,"RI",387365,319369,82.4
2021-03-07,"VT",261100,191529,73.4
2021-03-08,"CT",1434565,1228865,85.7
2021-03-08,"ME",503580,427445,84.9
2021-03-08,"MA",2497130,2199086,88.1
2021-03-08,"NH",496675,385485,77.6
2021-03-08,"RI",387365,326730,84.3
2021-03-08,"VT",261100,198741,76.1
2021-03-09,"CT",1525915,1245687,81.6
2021-03-09,"ME",541780,432219,79.8
2021-03-09,"MA",2657570,2226167,83.8
2021-03-09,"NH",512715,393931,76.8
2021-03-09,"RI",422115,333607,79
2021-03-09,"VT",272530,203900,74.8
2021-03-10,"CT",1558445,1272581,81.7
2021-03-10,"ME",557580,441443,79.2
2021-03-10,"MA",2724620,2313916,84.9
2021-03-10,"NH",531815,405366,76.2
2021-03-10,"RI",424815,340997,80.3
2021-03-10,"VT",281530,207110,73.6
2021-03-11,"CT",1604885,1304302,81.3
2021-03-11,"ME",581920,442593,76.1
2021-03-11,"MA",2859820,2376322,83.1
2021-03-11,"NH",547455,418658,76.5
2021-03-11,"RI",433095,350979,81
2021-03-11,"VT",289750,212062,73.2
2021-03-12,"CT",1642625,1345350,81.9
2021-03-12,"ME",582520,476530,81.8
2021-03-12,"MA",2861490,2443419,85.4
2021-03-12,"NH",548625,431296,78.6
2021-03-12,"RI",437405,359501,82.2
2021-03-12,"VT",289750,217495,75.1
