"","date","State","dist","admin","pct"
"314",2021-02-25,"MA",2025060,1576657,77.86
"315",2021-02-25,"ME",398190,305397,76.7
"316",2021-02-25,"NH",396375,291248,73.48
"317",2021-02-25,"RI",300805,226694,75.36
"318",2021-02-25,"VT",205810,147828,71.83
"319",2021-02-26,"CT",1190995,954153,80.11
"320",2021-02-26,"MA",2068660,1625459,78.58
"321",2021-02-26,"ME",411790,305477,74.18
"322",2021-02-26,"NH",398575,299874,75.24
"323",2021-02-26,"RI",304145,234889,77.23
"324",2021-02-26,"VT",206910,151538,73.24
"325",2021-02-27,"CT",1198495,980211,81.79
"326",2021-02-27,"MA",2091730,1684341,80.52
"327",2021-02-27,"ME",416090,332358,79.88
"328",2021-02-27,"NH",412275,310769,75.38
"329",2021-02-27,"RI",308415,245606,79.63
"330",2021-02-27,"VT",206910,156929,75.84
"331",2021-02-28,"CT",1198495,1004467,83.81
"332",2021-02-28,"MA",2091730,1735916,82.99
"333",2021-02-28,"ME",416090,332999,80.03
"334",2021-02-28,"NH",412275,321602,78.01
"335",2021-02-28,"RI",308415,256755,83.25
"336",2021-02-28,"VT",206910,162558,78.56
"337",2021-03-01,"CT",1198495,1031305,86.05
"338",2021-03-01,"MA",2091730,1803528,86.22
"339",2021-03-01,"ME",416090,334009,80.27
"340",2021-03-01,"NH",412275,324806,78.78
"341",2021-03-01,"RI",308415,269512,87.39
"342",2021-03-01,"VT",206910,168050,81.22
